":LABEL",":ID","name:string"
"Branch","branch:1703","FavoritesTabs"
"Branch","branch:1704","master"
"Branch","branch:1715","master"
"Branch","branch:1717","master"
"Branch","branch:1720","develop"
"Branch","branch:1721","feature/policy"
"Branch","branch:1722","fix/airplane"
"Branch","branch:1723","fix/ci"
"Branch","branch:1724","fix/download"
"Branch","branch:1725","gh-pages"
"Branch","branch:1726","master"
"Branch","branch:1727","revert-152-feature-documentation"
"Branch","branch:1729","master"
"Branch","branch:1735","master"
"Branch","branch:1737","master"
"Branch","branch:1743","master"
"Branch","branch:1751","add-pebble-appstore-link-to-android-app"
"Branch","branch:1752","add-weather-icons"
"Branch","branch:1753","auto-enable-wifi"
"Branch","branch:1754","cardview-playground"
"Branch","branch:1755","clock-in-manually"
"Branch","branch:1756","csv-data-export"
"Branch","branch:1757","doze-mode-fixes"
"Branch","branch:1758","export-sql-database"
"Branch","branch:1759","fix-notifications"
"Branch","branch:1760","in-app-donation"
"Branch","branch:1761","master"
"Branch","branch:1762","pause-automatic-control"
"Branch","branch:1763","pebble-api"
"Branch","branch:1764","pebble-watchface-enhancements"
"Branch","branch:1765","raise-api-level-to-23"
"Branch","branch:1766","remove-initial-values"
"Branch","branch:1767","send-notifications-to-android"
"Branch","branch:1768","show-overtime"
"Branch","branch:1769","sqlite-database"
"Branch","branch:1770","start-wifi-scan-on-adding-an-account"
"Branch","branch:1771","warn-without-gps-enabled"
"Branch","branch:1775","myblocks"
"Branch","branch:1776","myintent"
"Branch","branch:1778","dev"
"Branch","branch:1779","master"
"Branch","branch:1781","master"
"Branch","branch:1783","master"
"Branch","branch:1785","develop"
"Branch","branch:1786","feature/SQLite"
"Branch","branch:1787","feature/dagger_implementation"
"Branch","branch:1788","feature/design"
"Branch","branch:1789","feature/refactor"
"Branch","branch:1790","feature/refactor_event"
"Branch","branch:1791","feature/testing"
"Branch","branch:1792","jfilowk-patch-1"
"Branch","branch:1793","master"
"Branch","branch:1794","test"
"Branch","branch:1796","master"
"Branch","branch:1800","master"
"Branch","branch:1802","master"
"Branch","branch:1853","master"
"Branch","branch:1864","master"
"Branch","branch:1866","2.3.0"
"Branch","branch:1867","2.5.0"
"Branch","branch:1868","gh-pages"
"Branch","branch:1869","master"
"Branch","branch:1873","master"
"Branch","branch:1874","next"
"Branch","branch:1876","master"
"Branch","branch:1894","develop"
"Branch","branch:1895","master"
"Branch","branch:1897","master"
"Branch","branch:1902","boardGUI-fixes"
"Branch","branch:1903","client/notifications"
"Branch","branch:1904","icons"
"Branch","branch:1905","master"
"Branch","branch:1906","server/api-tests"
"Branch","branch:1912","experimental"
"Branch","branch:1913","master"
"Branch","branch:1916","dev"
"Branch","branch:1917","generic-score"
"Branch","branch:1918","master"
"Branch","branch:1919","testing"
"Branch","branch:1921","master"
"Branch","branch:1927","master"
"Branch","branch:1929","master"
"Branch","branch:1973","babymonitor-sender"
"Branch","branch:1974","configured-servalhq"
"Branch","branch:1975","development"
"Branch","branch:1976","httpproxy"
"Branch","branch:1977","ideal-group"
"Branch","branch:1978","lca"
"Branch","branch:1979","libsodium"
"Branch","branch:1980","master"
"Branch","branch:1981","opus1.1"
"Branch","branch:1982","romana"
"Branch","branch:1983","wifiDirect"
"Branch","branch:1985","master"
"Branch","branch:1987","master"
"Branch","branch:1989","master"
"Branch","branch:2001","dagger"
"Branch","branch:2002","furigana"
"Branch","branch:2003","master"
"Branch","branch:2005","master"
"Branch","branch:2006","open-close-sockets"
"Branch","branch:2008","master"
"Branch","branch:2013","dao-generator"
"Branch","branch:2014","master"
"Branch","branch:2015","master-bob"
"Branch","branch:2016","master-flower"
"Branch","branch:2017","soy-flower"
"Branch","branch:2021","master"
"Branch","branch:2023","develop"
"Branch","branch:2024","master"
"Branch","branch:2026","master"
"Branch","branch:2028","master"
"Branch","branch:2030","master"
"Branch","branch:2032","master"
"Branch","branch:2033","mmathieum"
"Branch","branch:2035","master"
"Branch","branch:2037","beta1.0"
"Branch","branch:2039","master"
"Branch","branch:2041","master"
"Branch","branch:2043","master"
"Branch","branch:2045","master"
"Branch","branch:2048","master"
"Branch","branch:2050","master"
"Branch","branch:2052","master"
"Branch","branch:2081","gh-pages"
"Branch","branch:2082","jr-flavors"
"Branch","branch:2083","master"
"Branch","branch:2084","release/6.7.8"
"Branch","branch:2086","master"
"Branch","branch:2088","ThingEngine_weather"
"Branch","branch:2089","master"
"Branch","branch:2092","java"
"Branch","branch:2093","kotlin"
"Branch","branch:2096","master"
"Branch","branch:2099","development"
"Branch","branch:2100","master"
"Branch","branch:2117","HEAD"
"Branch","branch:2118","develop"
"Branch","branch:2119","master"
"Branch","branch:2121","master"
"Branch","branch:2123","master"
"Branch","branch:2125","FLASH"
"Branch","branch:2126","master"
"Branch","branch:2127","wiki"
"Branch","branch:2131","develop"
"Branch","branch:2132","master"
"Branch","branch:2133","search-suggestions"
"Branch","branch:2135","master"
"Branch","branch:2137","master"
"Branch","branch:2139","gh-pages"
"Branch","branch:2140","master"
"Branch","branch:2142","develop"
"Branch","branch:2143","master"
"Branch","branch:2145","master"
"Branch","branch:2147","master"
"Branch","branch:2167","develop"
"Branch","branch:2168","master"
"Branch","branch:2170","master"
"Branch","branch:2175","master"
"Branch","branch:2177","master"
"Branch","branch:2179","ft-customize_time_settings-116528969"
"Branch","branch:2180","ft-group_similar_location-116531459"
"Branch","branch:2181","ft-listLocation_116531227"
"Branch","branch:2182","ft-record_location-116529451"
"Branch","branch:2183","master"
"Branch","branch:2186","master"
"Branch","branch:2188","master"
"Branch","branch:2195","dev"
"Branch","branch:2196","dev-AT"
"Branch","branch:2197","dev-actors"
"Branch","branch:2198","dev-animateFavourite"
"Branch","branch:2199","dev-connectivity"
"Branch","branch:2200","dev-contentproviders"
"Branch","branch:2201","dev-contentproviders_saveFavourite"
"Branch","branch:2202","dev-contentproviders_saveFavourite_movie"
"Branch","branch:2203","dev-databasetest"
"Branch","branch:2204","dev-dependencies"
"Branch","branch:2205","dev-espressidleresource"
"Branch","branch:2206","dev-fab"
"Branch","branch:2207","dev-favourite"
"Branch","branch:2208","dev-landscape"
"Branch","branch:2209","dev-mockwebserver"
"Branch","branch:2210","dev-reviews"
"Branch","branch:2211","dev-searchmovies"
"Branch","branch:2212","dev-similarmovies"
